회사명,종목명,시가총액,시가총액순위,상장주식수,액면가,매매단위,주총일,전자투표전자투표,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견,목표주가,52주최고,52주최저,PER(WISEfn),EPS(WISEfn),PER(KRX),EPS(KRX),추정PER,EPS,PBR(WISEfn),BPS(WISEfn),배당수익률,동일업종 PER,동일업종 등락률,업종PER비율
start,18/01/01_20:35:16
weekday,Monday
회사명,종목코드
현대시멘트,006390,"2,556",406,"16,758,544","5,000",1,2017.07.18,미도입,"16,758,544","63,977",0.38%,N/A,N/A,"34,500","14,100",-1.14,"-13,416",N/A,N/A,N/A,N/A,1.79,"8,533",N/A,16.18,+1.10%,-7.05%
CS홀딩스,000590,926,688,"1,154,482","5,000",1,2017.03.24,미도입,"1,154,482","15,847",1.37%,N/A,N/A,"102,000","74,500",10.03,"7,995",9.97,"8,045",N/A,N/A,0.43,"186,452",0.62,16.18,+0.03%,61.99%
신성통상,005390,"1,530",538,"143,708,390",500,1,2017.09.29,도입,"143,708,390","4,238,421",2.95%,N/A,N/A,"1,490",880,19.36,55,19.36,55,N/A,N/A,0.68,"1,565",N/A,18.19,+0.49%,106.43%
DB하이텍,000990,"5,324",269,"44,367,832","5,000",1,2017.10.27,도입,"44,367,832","8,988,521",20.26%,N/A,N/A,"23,450","11,300",6.05,"1,985",5.88,"2,042",N/A,N/A,1.52,"7,900",N/A,15.53,+3.04%,38.96%
대림통상,006570,837,715,"15,225,000","1,000",1,2017.03.24,미도입,"15,225,000","202,430",1.33%,N/A,N/A,"6,700","4,980",261.90,21,261.90,21,N/A,N/A,0.72,"7,649",2.73,11.94,+0.43%,2193.47%
유유제약,000220,758,737,"6,368,587","1,000",1,2017.06.28,도입,"6,368,587","202,181",3.17%,N/A,N/A,"14,900","8,260",15.08,789,12.06,987,N/A,N/A,1.08,"11,013",1.51,65.05,+0.91%,23.18%
강남제비스코,000860,"2,434",416,"6,500,000","1,000",1,2017.03.24,미도입,"6,500,000","840,972",12.94%,N/A,N/A,"44,000","34,000",7.02,"5,335",7.02,"5,335",N/A,N/A,0.52,"71,406",1.34,16.18,+1.10%,43.39%
대신증권,003540,"7,311",229,"50,773,400","5,000",1,2017.03.24,미도입,"50,773,400","10,987,674",21.64%,N/A,N/A,"16,900","10,250",16.88,853,14.02,"1,027",N/A,N/A,0.58,"24,952",3.82,19.03,+1.05%,88.70%
NH투자증권,005940,"3조
										
											9,116",73,"281,408,887","5,000",1,2017.03.24,도입,"281,408,887","39,961,655",14.20%,3.91,"17,264","15,250","9,600",17.68,786,17.62,789,12.00,"1,194",0.90,"15,497",2.88,19.03,+1.05%,92.91%
미래에셋대우,006800,"6조
										
											1,234",50,"666,316,408","5,000",1,2017.03.24,미도입,"666,316,408","79,036,733",11.86%,4.08,"12,625","11,600","7,200",79.91,115,79.22,116,12.00,753,0.72,"12,821",0.54,19.03,+1.05%,419.92%
신일산업,002700,991,671,"71,047,521",500,1,2017.05.12,미도입,"71,047,521","2,033,953",2.86%,N/A,N/A,"2,420","1,170",25.36,55,25.36,55,N/A,N/A,2.00,699,1.08,28.95,+1.81%,87.60%
