회사명,종목명,시가총액,시가총액순위,상장주식수,액면가,매매단위,주총일,전자투표전자투표,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견,목표주가,52주최고,52주최저,PER(WISEfn),EPS(WISEfn),PER(KRX),EPS(KRX),추정PER,EPS,PBR(WISEfn),BPS(WISEfn),배당수익률,동일업종 PER,동일업종 등락률,업종PER비율
start,18/01/01_20:35:16
weekday,Monday
회사명,종목코드
BGF리테일,282330,"3조
										
											6,296",76,"17,283,906","1,000",1,-,N/A,"17,283,906","6,398,766",37.02%,4.00,"251,667","249,000","149,500",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.78,+0.97%,N/A
동양피스톤,092780,540,812,"13,168,460",500,1,2017.03.30,미도입,"13,168,460","162,745",1.24%,N/A,N/A,"5,300","4,125",4.42,928,4.42,928,N/A,N/A,0.67,"6,094",1.90,9.58,-0.21%,46.14%
진에어,272450,"7,950",216,"30,000,000","1,000",1,-,N/A,"14,997,000","2,260,130",15.07%,4.00,"39,000","29,600","25,600",18.19,"1,457",18.19,"1,457",11.00,"2,504",9.18,"2,886",1.89,-9.02,+0.67%,-201.66%
케이씨텍,281820,"4,226",305,"19,839,340",500,1,-,N/A,"19,839,340","2,808,873",14.16%,N/A,N/A,"29,350","20,150",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.53,+3.04%,N/A
동아타이어,282690,"1,394",562,"13,733,015",500,1,-,N/A,"13,733,015","618,631",4.50%,N/A,N/A,"15,900","9,690",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.58,-0.21%,N/A
삼양패키징,272550,"2,877",383,"14,209,804","5,000",1,-,N/A,"14,209,804","1,149,891",8.09%,N/A,N/A,"26,400","19,650",11.88,"1,704",11.88,"1,704",N/A,N/A,1.32,"15,343",N/A,16.36,+0.07%,72.62%
테이팩스,055490,"1,510",544,"4,717,650",500,1,-,미도입,"4,717,650","15,315",0.32%,N/A,N/A,"40,300","23,000",278.26,115,15.59,"2,053",N/A,N/A,1.92,"16,704",0.39,14.05,+2.07%,1980.50%
롯데제과,280360,"6,145",254,"4,209,102",500,1,-,N/A,"4,209,102","1,163,650",27.65%,3.50,"271,333","225,500","143,500",N/A,N/A,N/A,N/A,19.00,"7,494",N/A,N/A,N/A,16.14,+0.24%,N/A
제일약품,271980,"6,523",245,"10,504,493",500,1,-,N/A,"10,504,493","748,306",7.12%,N/A,N/A,"83,500","46,550",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.05,+0.91%,N/A
카카오,035720,"9조
										
											3,035",35,"67,908,527",500,1,2017.06.14,도입,"67,908,527","15,718,022",23.15%,3.68,"174,810","168,000","75,300",156.75,874,156.21,877,72.00,"1,914",2.70,"50,769",0.11,48.83,-1.08%,321.01%
오리온,271560,"4조
										
											1,312",68,"39,533,501",500,1,-,N/A,"39,533,501","15,698,887",39.71%,3.71,"136,071","129,500","75,700",N/A,N/A,N/A,N/A,20.00,"5,358",N/A,N/A,N/A,16.14,+0.24%,N/A
미원에스씨,268280,"3,025",377,"5,179,111",500,1,-,N/A,"5,179,111","92,835",1.79%,N/A,N/A,"106,500","47,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.05,+2.07%,N/A
경동도시가스,267290,"1,710",496,"4,717,063","2,500",1,-,N/A,"4,717,063","1,217,177",25.80%,N/A,N/A,"67,000","33,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-22.27,+1.04%,N/A
넷마블게임즈,251270,"16조
										
											275",21,"85,026,385",100,1,-,N/A,"85,026,385","23,069,186",27.13%,3.90,"221,190","200,000","123,500",69.33,"2,719",69.30,"2,720",39.00,"4,887",10.50,"17,946",N/A,53.31,-0.28%,130.05%
아이엔지생명,079440,"4조
										
											3,788",65,"82,000,000","1,000",1,-,N/A,"82,000,000","29,956,316",36.53%,3.88,"57,625","57,000","30,450",18.19,"2,936",18.19,"2,936",13.00,"4,232",1.06,"50,578",3.82,11.72,+0.79%,155.20%
현대건설기계,267270,"1조
										
											6,691",138,"9,876,295","5,000",1,-,N/A,"9,876,295","1,040,059",10.53%,4.00,"226,459","439,000","151,000",N/A,N/A,N/A,N/A,9.00,"18,020",N/A,N/A,N/A,-77.50,+0.40%,N/A
현대로보틱스,267250,"6조
										
											2,052",49,"16,286,617","5,000",1,-,N/A,"16,286,617","3,156,315",19.38%,3.83,"558,000","489,000","329,000",N/A,N/A,N/A,N/A,3.00,"146,529",N/A,N/A,N/A,30.11,+1.41%,N/A
현대일렉트릭,267260,"1조
										
											1,635",169,"10,205,783","5,000",1,-,N/A,"10,205,783","757,222",7.42%,3.90,"156,859","352,000","103,500",N/A,N/A,N/A,N/A,7.00,"15,405",N/A,N/A,N/A,28.66,+0.87%,N/A
크라운제과,264900,"1,760",484,"12,523,850",200,1,-,N/A,"12,523,850","152,086",1.21%,N/A,N/A,"29,600","13,650",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.14,+0.24%,N/A
덴티움,145720,"6,896",237,"11,068,830",500,1,2017.03.31,미도입,"11,068,830","1,236,000",11.17%,4.00,"85,075","76,300","32,550",34.84,"1,788",19.13,"3,256",22.00,"2,777",9.99,"6,234",0.16,34.13,+1.64%,102.08%
호전실업,111110,"1,048",655,"8,000,000",500,1,2017.03.31,미도입,"8,000,000","68,664",0.86%,N/A,N/A,"25,400","12,850",5.34,"2,455",4.89,"2,679",N/A,N/A,1.01,"12,961",0.12,18.19,+0.49%,29.36%
핸즈코퍼레이션,143210,"1,979",462,"21,863,268",500,1,2017.03.31,미도입,"21,863,268","211,531",0.97%,N/A,N/A,"11,650","7,530",4.30,"2,106",4.29,"2,108",N/A,N/A,0.65,"13,932",1.97,9.58,-0.21%,44.89%
두산밥캣,241560,"3조
										
											5,889",77,"100,249,166",500,1,2017.03.31,도입,"100,249,166","27,604,397",27.54%,4.00,"45,886","40,800","33,100",20.12,"1,779","17,900.00",2,18.00,"2,035",1.07,"33,435",1.96,-77.50,+0.40%,-25.96%
삼성바이오로직스,207940,"24조
										
											5,472",11,"66,165,000","2,500",1,2017.03.24,미도입,"66,165,000","5,616,569",8.49%,3.89,"427,778","414,000","149,500",-119.18,"-3,113",N/A,N/A,-275.00,"-1,347",6.01,"61,700",N/A,65.05,+0.91%,-183.21%
JW생명과학,234080,"3,333",355,"7,917,277","5,000",1,2017.03.17,도입,"7,917,277","454,411",5.74%,N/A,N/A,"45,350","26,200",21.98,"1,915",21.98,"1,915",N/A,N/A,3.69,"11,406",1.42,65.05,+0.91%,33.79%
화승엔터프라이즈,241590,"7,264",231,"30,268,335",500,1,2017.07.17,미도입,"30,268,335","2,329,391",7.70%,4.00,"29,833","27,300","13,300",15.48,"1,550",15.38,"1,560",14.00,"1,750",3.36,"7,140",0.15,18.19,+0.49%,85.10%
LS전선아시아,229640,"1,926",468,"30,624,879",500,1,2017.03.17,미도입,"30,624,879","805,912",2.63%,4.00,"8,745","7,300","5,420",14.43,436,14.43,436,13.00,493,1.57,"4,009",2.38,28.66,+0.87%,50.35%
모두투어리츠,204210,304,"7,826,815",2017.06.30,미도입,"4,725","3,800",exception
일동제약,249420,"4,593",292,"19,629,292","1,000",1,2017.03.24,미도입,"19,629,292","1,218,122",6.21%,4.00,"26,597","28,650","17,050",16.57,"1,412",40.00,585,23.00,"1,005",1.88,"12,434",1.06,65.05,+0.91%,25.47%
샘표식품,248170,"1,594",525,"4,568,286",500,1,2017.03.20,미도입,"4,568,286","38,532",0.84%,N/A,N/A,"43,750","29,750",27.72,"1,259",27.70,"1,260",N/A,N/A,1.54,"22,707",0.57,16.14,+0.24%,171.75%
두올,016740,"1,101",639,"18,235,986","2,500",1,2017.03.30,미도입,"18,235,986","479,527",2.63%,N/A,N/A,"6,420","4,410",8.13,743,7.39,817,N/A,N/A,0.88,"6,864",1.90,9.58,-0.21%,84.86%
동서,026960,"2조
										
											9,013",91,"99,700,000",500,1,2017.03.17,미도입,"99,700,000","10,490,738",10.52%,N/A,N/A,"33,650","24,650",24.37,"1,194",24.27,"1,199",N/A,N/A,2.46,"11,843",2.30,16.14,+0.24%,150.99%
한국자산신탁,123890,"6,910",236,"93,500,000",500,1,2017.03.24,미도입,"93,500,000","5,819,273",6.22%,N/A,N/A,"10,550","7,200",9.71,761,9.70,762,N/A,N/A,1.84,"4,027",2.24,11.47,+1.17%,84.66%
한국토지신탁,034830,"7,903",217,"252,489,230","1,000",1,2017.03.24,미도입,"252,489,230","18,522,515",7.34%,4.00,"4,971","3,800","2,610",9.21,340,8.94,350,5.00,679,1.36,"2,296",2.40,11.47,+1.17%,80.30%
해성디에스,195870,"2,805",386,"17,000,000","5,000",1,2017.03.24,미도입,"17,000,000","184,773",1.09%,N/A,N/A,"22,500","12,250",14.05,"1,174",14.04,"1,175",N/A,N/A,1.74,"9,477",1.51,15.53,+3.04%,90.47%
용평리조트,070960,"5,030",278,"48,133,333","5,000",1,2017.09.19,도입,"48,133,333","825,114",1.71%,N/A,N/A,"14,400","8,160",32.25,324,32.25,324,N/A,N/A,1.27,"8,236",0.96,26.13,+1.04%,123.42%
해태제과식품,101530,"4,499",297,"29,116,822",500,1,2017.03.24,도입,"29,116,822","125,193",0.43%,N/A,N/A,"24,150","14,000",16.67,927,12.64,"1,222",N/A,N/A,1.43,"10,803",0.97,16.14,+0.24%,103.28%
대림씨엔에스,004440,"1,617",520,"12,731,947","1,000",1,2017.06.02,미도입,"12,731,947","92,981",0.73%,N/A,N/A,"20,950","12,000",4.17,"3,043",4.16,"3,052",N/A,N/A,0.56,"22,677",4.72,16.18,+1.10%,25.77%
제이에스코퍼레이션,194370,"1,707",497,"13,335,601",100,1,2017.03.28,미도입,"13,335,601","86,292",0.65%,N/A,N/A,"21,800","12,200",16.08,796,15.44,829,N/A,N/A,1.07,"11,979",1.95,18.19,+0.49%,88.40%
코리아오토글라스,152330,"3,360",352,"20,000,000","5,000",1,2017.03.24,미도입,"20,000,000",0,0.00%,N/A,N/A,"22,600","15,500",7.96,"2,110",7.96,"2,110",N/A,N/A,1.20,"13,964",2.38,9.58,-0.21%,83.09%
잇츠한불,226320,"9,956",188,"21,929,315",500,1,2017.03.17,미도입,"21,929,315","753,615",3.44%,3.60,"56,000","54,100","24,150",13.59,"3,340",13.52,"3,357",32.00,"1,427",2.29,"19,843",1.54,29.66,+1.26%,45.82%
세진중공업,075580,"1,082",642,"38,372,720",500,1,2017.05.19,미도입,"38,372,720","619,300",1.61%,N/A,N/A,"4,450","2,660",7.64,369,7.64,369,N/A,N/A,0.68,"4,133",3.55,-4.78,+3.08%,-159.83%
금호에이치티,214330,480,833,"9,765,000",500,1,2017.03.21,미도입,"9,765,000","921,502",9.44%,N/A,N/A,"8,210","4,615",5.09,967,5.09,967,N/A,N/A,0.56,"8,836",2.03,9.58,-0.21%,53.13%
제주항공,089590,"9,317",197,"26,356,758","5,000",1,2017.09.20,도입,"13,175,743","2,391,598",18.15%,4.06,"45,750","40,500","24,100",17.35,"2,038",17.36,"2,036",12.00,"2,993",3.42,"10,342",1.41,-9.02,+0.67%,-192.35%
현대코퍼레이션홀딩스,227840,"1,329",577,"9,100,836","5,000",1,2017.03.24,미도입,"9,100,836","423,309",4.65%,N/A,N/A,"16,750","13,500",20.71,705,20.68,706,N/A,N/A,0.71,"20,604",2.74,25.73,+0.49%,80.49%
LIG넥스원,079550,"1조
										
											3,156",161,"22,000,000","5,000",1,2017.03.24,미도입,"22,000,000","2,478,062",11.26%,3.36,"79,273","90,400","54,300",17.08,"3,502",17.08,"3,502",28.00,"2,133",2.08,"28,711",1.57,12.57,+2.45%,135.88%
동일제강,002690,490,830,"15,000,000",500,1,2017.03.24,미도입,"15,000,000","138,207",0.92%,N/A,N/A,"4,450","3,180",10.30,317,10.30,317,N/A,N/A,0.37,"8,734",0.61,16.18,+0.03%,63.66%
아이콘트롤스,039570,"2,403",421,"16,460,000",500,1,2017.03.24,미도입,"16,460,000","942,578",5.73%,4.33,"20,000","34,600","13,550",12.74,"1,146",12.74,"1,146",9.00,"1,574",1.37,"10,682",1.03,22.29,+1.79%,57.16%
AJ네트웍스,095570,"3,264",362,"46,822,295","1,000",1,2017.06.30,미도입,"46,822,295","3,772,297",8.06%,N/A,N/A,"8,770","4,990",24.20,288,24.20,288,N/A,N/A,1.17,"5,980",0.86,21.26,-0.18%,113.83%
이노션,214320,"1조
										
											4,640",151,"20,000,000",500,1,2017.03.24,미도입,"20,000,000","6,760,378",33.80%,4.00,"92,400","78,900","55,800",22.41,"3,267",22.41,"3,267",20.00,"3,692",2.24,"32,728",1.30,25.81,+1.29%,86.83%
토니모리,214420,"3,122",369,"17,640,000",200,1,2017.12.22,도입,"17,640,000","711,479",4.03%,3.40,"21,667","23,700","12,950",24.21,731,24.21,731,69.00,257,2.46,"7,206",1.30,29.66,+1.26%,81.63%
미래에셋생명,085620,"7,622",224,"145,180,000","5,000",1,2017.08.04,미도입,"145,180,000","11,348,349",7.82%,4.00,"7,467","6,520","4,800",11.44,459,8.28,634,N/A,N/A,0.46,"11,422",1.05,11.72,+0.79%,97.61%
경보제약,214390,"3,000",378,"23,906,860",500,1,2017.03.17,미도입,"23,906,860","637,729",2.67%,N/A,N/A,"14,850","10,800",23.63,531,23.63,531,N/A,N/A,2.32,"5,413",1.59,65.05,+0.91%,36.33%
SK디앤디,210980,"5,436",268,"16,155,000","1,000",1,2017.03.24,미도입,"16,155,000","241,702",1.50%,4.14,"40,286","45,400","25,400",19.96,"1,686",19.96,"1,686",8.00,"4,475",2.58,"13,048",1.05,11.47,+1.17%,174.02%
엔에스쇼핑,138250,"5,492",267,"33,696,000",500,1,2017.11.10,미도입,"33,696,000","3,659,191",10.86%,3.75,"22,000","175,000","14,250",10.92,"1,493",10.92,"1,493",10.00,"1,662",1.45,"11,237",1.23,22.34,-1.81%,48.88%
세화아이엠씨,145210,239,1001,"11,882,640",500,1,2017.03.30,미도입,"11,882,640",0,0.00%,N/A,N/A,"7,400","1,950",-4.88,-412,N/A,N/A,N/A,N/A,0.37,"5,455",2.11,9.58,-0.21%,-50.94%
한솔제지,213500,"3,332",356,"23,800,576","5,000",1,2017.03.30,미도입,"23,800,576","3,206,475",13.47%,N/A,N/A,"21,150","13,600",6.02,"2,325",5.91,"2,370",N/A,N/A,0.65,"21,424",5.00,24.54,+0.35%,24.53%
디와이파워,210540,"2,098",455,"11,041,708",500,1,2017.03.24,미도입,"11,041,708","1,557,719",14.11%,4.00,"28,000","24,950","8,220",21.84,870,21.84,870,8.00,"2,502",2.09,"9,107",0.63,-77.50,+0.40%,-28.18%
삼성물산,028260,"23조
										
											9,009",13,"189,690,043",100,1,2017.03.24,미도입,"189,690,043","18,519,441",9.76%,4.00,"188,750","151,500","118,000",224.60,561,193.85,650,37.00,"3,377",1.14,"110,964",0.44,30.11,+1.41%,745.93%
씨에스윈드,112610,"4,529",296,"17,285,715",500,1,2017.03.30,미도입,"17,285,715","2,784,159",16.11%,N/A,N/A,"31,650","15,800",-26.23,-999,N/A,N/A,N/A,N/A,1.40,"18,749",0.76,-77.50,+0.40%,33.85%
우리은행,000030,"10조
										
											6,470",33,"676,000,000","5,000",1,2017.12.22,미도입,"676,000,000","183,984,942",27.22%,3.87,"21,407","19,650","12,150",8.44,"1,866",10.05,"1,567",6.00,"2,472",0.52,"30,279",2.54,9.37,-0.12%,90.07%
삼성에스디에스,018260,"15조
										
											4,756",24,"77,377,800",500,1,2017.03.24,미도입,"77,377,800","7,746,635",10.01%,3.80,"236,000","213,500","125,500",33.36,"5,995",33.35,"5,997",29.00,"6,931",3.01,"66,460",0.38,32.17,+1.49%,103.70%
만도,204320,"2조
										
											8,973",92,"9,391,424","5,000",1,2017.06.01,미도입,"9,391,424","4,045,650",43.08%,3.83,"357,304","344,500","219,000",14.52,"21,243",14.48,"21,303",43.00,"7,159",1.97,"156,399",1.62,9.58,-0.21%,151.57%
서연이화,200880,"2,716",395,"27,028,437",500,1,2017.05.25,도입,"27,028,437","5,429,566",20.09%,N/A,N/A,"17,500","9,170",2.97,"3,382",2.97,"3,382",N/A,N/A,0.41,"24,734",1.49,9.58,-0.21%,31.00%
쿠쿠전자,192400,"1조
										
											6,176",142,"9,803,360",500,1,2017.10.31,미도입,"9,803,360","994,141",10.14%,4.00,"182,500","173,500","120,000",19.95,"8,272",16.67,"9,899",21.00,"7,687",2.39,"69,180",1.88,28.95,+1.81%,68.91%
화인베스틸,133820,642,770,"31,000,000",500,1,2017.03.24,미도입,"31,000,000","209,146",0.67%,N/A,N/A,"3,855","1,990",86.25,24,82.80,25,N/A,N/A,0.63,"3,296",N/A,-4.78,+3.08%,-1804.39%
광주은행,192530,"6,158",253,"51,316,057","5,000",1,2017.09.27,미도입,"51,316,057","6,885,402",13.42%,3.83,"15,583","14,250","10,050",5.96,"2,014",6.27,"1,914",4.00,"2,865",0.42,"28,841",1.67,9.37,-0.12%,63.61%
BGF,027410,"4,920",284,"32,263,719","1,000",1,2017.09.28,미도입,"32,263,719","4,677,910",14.50%,N/A,N/A,"144,000","14,100",4.12,"3,704",4.00,"3,816",N/A,N/A,0.82,"18,649",5.25,14.78,+0.97%,27.88%
코스맥스,192820,"1조
										
											1,758",168,"10,049,509",500,1,2017.03.17,도입,"10,049,509","2,191,050",21.80%,3.71,"147,800","161,500","102,000",31.18,"3,752",30.35,"3,855",53.00,"2,215",5.57,"20,997",0.86,29.66,+1.26%,105.12%
종근당,185750,"1조
										
											3,032",162,"9,409,050","2,500",1,2017.03.17,미도입,"9,409,050","1,464,872",15.57%,3.94,"148,941","145,500","97,100",31.82,"4,352",31.81,"4,354",25.00,"5,586",3.68,"37,671",0.65,65.05,+0.91%,48.92%
신송홀딩스,006880,680,760,"11,828,858",500,1,2017.03.24,미도입,"11,828,858","32,362",0.27%,N/A,N/A,"7,340","5,300",-5.49,"-1,048",N/A,N/A,N/A,N/A,0.46,"12,382",1.39,16.14,+0.24%,-34.01%
아세아시멘트,183190,"3,625",334,"3,295,809","5,000",1,2017.03.17,미도입,"3,295,809","427,462",12.97%,N/A,N/A,"138,000","70,000",8.95,"12,286",8.92,"12,332",N/A,N/A,0.56,"196,361",1.34,16.18,+1.10%,55.32%
현대로템,064350,"1조
										
											5,938",144,"85,000,000","5,000",1,2017.03.17,미도입,"85,000,000","23,822,181",28.03%,3.64,"23,100","23,200","16,600",72.96,257,72.96,257,44.00,423,1.14,"16,376",N/A,-77.50,+0.40%,-94.14%
한진칼,180640,"1조
										
											828",175,"59,170,458","2,500",1,2017.03.24,미도입,"59,170,458","3,270,601",5.53%,4.00,"29,071","27,150","14,350",-2.59,"-7,069",N/A,N/A,5.00,"3,358",1.09,"16,779",0.40,-9.02,+0.67%,28.71%
NHN엔터테인먼트,181710,"1조
										
											3,382",158,"19,565,025",500,1,2017.03.24,도입,"19,565,025","2,628,316",13.43%,3.87,"85,800","85,700","49,350",107.04,639,105.07,651,29.00,"2,394",0.90,"76,153",N/A,53.31,-0.28%,200.79%
JB금융지주,175330,"9,435",195,"155,439,423","5,000",1,2017.03.24,도입,"155,439,423","65,160,809",41.92%,3.77,"7,892","7,000","5,480",6.61,918,6.61,918,5.00,"1,290",0.41,"14,663",0.82,9.37,-0.12%,70.54%
하이골드12호,172580,304,"13,044,500",2017.03.30,미도입,"4,000","2,010",exception
DSR,155660,827,718,"16,000,000",500,1,2017.03.24,도입,"16,000,000","119,436",0.75%,N/A,N/A,"20,150","4,805",7.69,672,7.69,672,N/A,N/A,0.63,"8,252",0.97,15.74,+1.20%,48.86%
한국패러랠,168490,"1,944","80,020,000",-,N/A,"2,640","2,290",exception
동아에스티,170900,"8,410",211,"8,443,868","5,000",1,2017.03.24,미도입,"8,443,868","2,122,777",25.14%,3.83,"116,091","110,000","71,000",78.61,"1,267",78.55,"1,268",83.00,"1,203",1.43,"69,818",0.50,65.05,+0.91%,120.85%
지엠비코리아,013870,"1,589",527,"19,072,280",500,1,2017.03.31,미도입,"19,072,280","11,556,638",60.59%,N/A,N/A,"9,750","4,860",8.47,983,8.13,"1,024",N/A,N/A,0.72,"11,628",1.80,9.58,-0.21%,88.41%
CJ헬로,037560,"5,499",266,"77,446,865","2,500",1,2017.10.26,미도입,"37,948,964","4,177,509",11.01%,3.54,"8,905","10,800","6,600",25.54,278,25.54,278,17.00,411,0.57,"12,482",1.06,58.99,+0.71%,43.30%
동일고무벨트,163560,"1,050",653,"12,640,000",500,1,2017.03.22,도입,"12,640,000","272,340",2.15%,N/A,N/A,"12,800","8,150",6.04,"1,376",6.02,"1,380",N/A,N/A,0.61,"13,678",0.91,-77.50,+0.40%,-7.79%
한국콜마,161890,"1조
										
											7,306",133,"21,104,461",500,1,2017.03.24,미도입,"21,104,461","10,081,944",47.77%,3.82,"97,294","91,400","57,700",32.59,"2,516",32.59,"2,516",32.00,"2,581",6.41,"12,790",0.31,29.66,+1.26%,109.88%
한국타이어,161390,"6조
										
											7,636",47,"123,875,069",500,1,2017.03.24,미도입,"123,875,069","49,074,455",39.62%,3.89,"72,800","67,800","52,100",7.75,"7,046",7.75,"7,047",10.00,"5,560",1.14,"48,036",0.73,9.58,-0.21%,80.90%
애경유화,161000,"5,623",262,"32,040,000",500,1,2017.03.24,도입,"32,040,000","7,342,436",22.92%,N/A,N/A,"18,100","10,450",10.46,"1,678",10.46,"1,678",N/A,N/A,2.19,"8,009",1.71,14.05,+2.07%,74.45%
하이골드8호,159650,154,"14,905,929",2017.03.16,미도입,"2,460",990,exception
AJ렌터카,068400,"2,195",440,"22,146,300",500,1,2017.03.24,미도입,"22,146,300","770,557",3.48%,N/A,N/A,"22,000","7,940",27.53,360,27.38,362,N/A,N/A,0.94,"10,578",N/A,21.26,-0.18%,129.49%
바다로19호,155900,439,"15,200,004",2017.03.30,미도입,"4,100","2,650",exception
사조씨푸드,014710,"1,064",647,"17,218,543","1,000",1,2017.03.24,도입,"17,218,543","327,702",1.90%,N/A,N/A,"7,880","6,030",14.08,439,14.08,439,N/A,N/A,0.58,"10,656",0.81,16.14,+0.24%,87.24%
하이골드3호,153360,276,"16,149,790",2017.03.31,미도입,"3,220","1,550",exception
코오롱머티리얼,144620,"1,390",565,"45,000,000","1,000",1,2017.03.24,미도입,"45,000,000","631,883",1.40%,N/A,N/A,"14,650","1,560",56.18,55,56.18,55,N/A,N/A,0.75,"4,123",0.65,18.19,+0.49%,308.85%
한국ANKOR유전,152550,"1,320","70,020,000",-,N/A,"1,965","1,705",exception
휴비스,079980,"3,484",341,"34,500,000","5,000",1,2017.03.24,미도입,"34,500,000","1,788,998",5.19%,N/A,N/A,"10,650","7,270",39.61,255,37.83,267,N/A,N/A,0.85,"11,925",2.97,14.05,+2.07%,281.92%
케이탑리츠,145270,426,"43,345,804",2017.10.20,미도입,"2,925",961,exception
GS리테일,007070,"3조
										
											1,031",86,"77,000,000","1,000",1,2017.03.17,미도입,"77,000,000","15,513,836",20.15%,3.40,"42,667","57,900","32,900",11.31,"3,562",11.31,"3,562",21.00,"1,875",1.56,"25,842",2.73,14.78,+0.97%,76.52%
인터지스,129260,898,697,"29,747,874",500,1,2017.03.16,미도입,"29,747,874","441,101",1.48%,N/A,N/A,"3,855","2,900",11.35,266,10.79,280,N/A,N/A,0.43,"6,988",3.97,13.70,+0.70%,82.85%
삼양사,145990,"9,549",192,"10,289,803","5,000",1,2017.03.23,미도입,"10,289,803","396,459",3.85%,N/A,N/A,"108,500","89,400",10.97,"8,456",10.31,"9,000",N/A,N/A,0.88,"105,764",1.62,16.14,+0.24%,67.97%
하나투어,039130,"1조
										
											1,965",167,"11,616,185",500,1,2017.03.24,미도입,"11,616,185","2,867,980",24.69%,4.00,"124,000","116,500","62,500",148.84,692,141.68,727,58.00,"1,791",6.02,"17,122",1.46,26.13,+1.04%,569.61%
트러스제7호,140890,300,"9,686,000",2017.07.28,미도입,"4,225","2,885",exception
에이블씨엔씨,078520,"2,804",387,"16,890,782",500,1,2017.06.08,도입,"16,890,782","2,716,868",16.08%,2.67,"20,500","29,500","14,150",16.21,"1,024",15.92,"1,043",19.00,876,1.45,"11,423",2.11,29.66,+1.26%,54.65%
삼원강재,023000,"1,334",575,"40,000,000",500,1,2017.03.10,미도입,"40,000,000","292,561",0.73%,N/A,N/A,"3,850","3,240",9.39,355,9.39,355,N/A,N/A,0.71,"4,730",3.75,9.58,-0.21%,98.02%
신세계인터내셔날,031430,"5,291",273,"7,140,000","5,000",1,2017.03.10,미도입,"7,140,000","331,390",4.64%,4.00,"88,600","80,300","55,400",30.47,"2,432",30.47,"2,432",20.00,"3,632",1.11,"66,769",0.81,18.19,+0.49%,167.51%
에이리츠,140910,178,"3,628,735",2017.07.28,미도입,"6,150","4,710",exception
한국항공우주,047810,"4조
										
											6,252",63,"97,475,107","5,000",1,2017.10.25,도입,"97,475,107","16,868,746",17.31%,3.40,"57,800","71,500","35,750",17.46,"2,717",17.25,"2,751",-51.00,-937,3.20,"14,830",1.43,12.57,+2.45%,138.90%
롯데하이마트,071840,"1조
										
											6,266",141,"23,607,712","5,000",1,2017.03.24,도입,"23,607,712","4,673,974",19.80%,4.00,"91,385","77,900","40,350",13.39,"5,144",13.39,"5,144",10.00,"6,763",0.86,"80,298",0.36,16.73,+3.82%,80.04%
한세엠케이,069640,"1,536",537,"12,909,322",500,1,2017.08.11,미도입,"12,909,322","266,486",2.06%,N/A,N/A,"14,050","11,150",30.13,395,30.05,396,N/A,N/A,0.99,"12,076",1.68,18.19,+0.49%,165.64%
코오롱플라스틱,138490,"2,979",379,"38,000,000","1,000",1,2017.03.24,미도입,"38,000,000","469,841",1.24%,4.25,"10,875","8,680","5,910",15.25,514,14.90,526,12.00,672,1.71,"4,596",1.28,14.05,+2.07%,108.54%
이마트,139480,"7조
										
											5,543",40,"27,875,819","5,000",1,2017.03.10,미도입,"27,875,819","13,565,273",48.66%,3.90,"302,400","287,000","177,500",20.08,"13,497",20.07,"13,502",13.00,"20,899",0.98,"276,203",0.55,14.78,+0.97%,135.86%
DGB금융지주,139130,"1조
										
											7,845",127,"169,145,833","5,000",1,2017.03.24,미도입,"169,145,833","102,608,992",60.66%,3.87,"13,547","12,600","9,200",6.20,"1,702",6.20,"1,702",6.00,"1,893",0.48,"21,773",2.84,9.37,-0.12%,66.17%
케이티스카이라이프,053210,"6,432",249,"47,821,966","2,500",1,2017.03.28,미도입,"23,432,763","7,672,800",32.74%,3.58,"18,636","17,500","12,650",9.37,"1,436",9.32,"1,443",11.00,"1,229",1.18,"11,393",3.09,58.99,+0.71%,15.88%
세아특수강,019440,"1,723",494,"8,570,000","5,000",1,2017.03.17,미도입,"8,570,000","189,527",2.21%,N/A,N/A,"24,100","19,850",7.30,"2,755",7.17,"2,802",N/A,N/A,0.57,"35,105",3.73,16.18,+0.03%,45.12%
메리츠금융지주,138040,"2조
										
											1,504",112,"142,885,818",500,1,2017.03.24,도입,"142,885,818","10,111,550",7.08%,N/A,N/A,"17,100","10,750",8.51,"1,769",8.37,"1,799",N/A,N/A,1.20,"12,517",1.99,11.34,+0.49%,75.04%
한국종합기술,023350,563,805,"10,950,000",500,1,2017.03.24,도입,"10,950,000","358,843",3.28%,N/A,N/A,"12,850","4,980",18.36,280,18.36,280,N/A,N/A,0.46,"11,178",1.95,22.29,+1.79%,82.37%
BNK금융지주,138930,"3조
										
											703",87,"325,935,246","5,000",1,2017.09.27,미도입,"325,935,246","165,382,379",50.74%,3.67,"12,746","11,600","8,490",6.01,"1,568",6.19,"1,522",6.00,"1,684",0.45,"20,811",2.44,9.37,-0.12%,64.14%
